no;km;parcours
306;105;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - D89 - D39 - La Croix Guessant - D39 - YVIGNAC – à droite (direction Dinan) et 1ère à droite VC - PLUMAUDAN - tout droit VC (direction Le Hinglé) - Le Creux - à droite D71 - traverser D766 – tout droit VC (direction Trévron) – Chau de Chalonge – à gauche et aussitôt à droite D78 - TREVRON – tout droit D78 (direction St Juvat) - à gauche D12 (direction Dinan) puis 1ère à droite D78 - à droite D26 (direction St André des Eaux) et à gauche D78 - EVRAN - à gauche D2 (direction Dinan) – 2ème à droite D39 - D78 - PLESDER - D78 - LANHELIN - à droite D73 - COMBOURG - D82 - DINGE - D20 - TINTENIAC - D20 - LA BAUSSAINE - D20 - BECHEREL - D20 - D71 - LANDUJAN - D71 - MONTAUBAN
307;76;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - D89 - D39 - La Croix Guessant - D39 - YVIGNAC - à droite (direction Dinan) et 1 ère à droite VC - PLUMAUDAN - tout droit VC (direction Le Hinglé) - Le Creux - à droite D71 - traverser D766 – tout droit VC (direction Trévron) – Ch au de Chalonge – à gauche et aussitôt à droite D78 - TREVRON - tout droit D78 (direction St Juvat) - à gauche D12 (direction Dinan) et 1ère à droite D78 - à droite D26 (direction St André des Eaux) et à gauche D78 - EVRAN – à droite et à gauche D78 - D11 - TREVERIEN - D11 (direction St Domineuc) - à gauche D13 - ST DOMINEUC - à droite D637 (direction Tinténiac) - à droite VC - TRIMER - D79 - LA BAUSSAINE - D20 - BECHEREL - D20 - D71 - LANDUJAN - D71 - MONTAUBAN
308;53;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - D89 – à gauche D39 (direction Yvignac) – 2ème à droite, 1 km avant La Croix Guessant VC (direction « Tessier viandes ») - traverser D766 - D90 - PLUMAUDAN - 1ère à droite D64 - ST JUVAT - D12 - TREFUMEL - D12 - PLOUASNE - D12 - D20 - ST PERN - à gauche D20 (direction Bécherel) - Chau de Caradeuc - à droite D71 - LANDUJAN - D71 - MONTAUBAN
311;93;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D363 – MONTERFIL – à gauche après centre bourg D240 – LE VERGER – D240 (direction Bréal) – à droite D62 – BREAL S/S MONTFORT – 2ème à droite D62 – GOVEN – à droite après le bourg D39 (direction Guichen) – à gauche D38 – traverser D776 – D38 – GUICHEN – à droite à l’entrée du bourg et encore à droite D577 – passer au-dessus 4 voies – VC – à droite puis à gauche – La Gautrais – VC – traverser D776 – VC – LASSY – à gauche D38 – BAULON – à droite D69 (direction St Thurial) – à gauche D238 (direction Plélan) – à droite D63 – TREFFENDEL – D63 – MONTERFIL – D63 – IFFENDIC – D61 – MONTAUBAN
312;69;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D363 – MONTERFIL – à gauche après centre bourg D240 – LE VERGER – D240 (direction Bréal) – à droite D62 – BREAL S/S MONTFORT – à droite D36 – ST THURIAL – D36 – TREFFENDEL – D63 – MONTERFIL – D63 – IFFENDIC – D61 – MONTAUBAN
313;51;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D62 – TALENSAC – à gauche D35 (direction Monterfil) – traverser D363 – La Noë Jeannot – à gauche D35 (direction St Péran) - Les 4 routes d’Iffendic – à gauche D63 – MONTERFIL – à droite D40 (direction St Péran) – à droite D35 (direction Montfort) – à gauche après étang de Careil VC – Chlle St Barthélémy – à droite D61 – IFFENDIC – D61 – MONTAUBAN
316;93;MONTAUBAN - D61 - IFFENDIC - D63 - MONTERFIL - D63 - TREFFENDEL - D63 (direction Maxent) - à gauche D238 (direction St Thurial) - à droite D69 - BAULON - D38 - LASSY – à droite D 62 (direction Guignen) – 1ère à gauche VC – traverser D776 – VC – La Gautrais – 1ère à droite et 1 ère à gauche – passer au-dessus 4 voies – au rond point, à gauche D577 – GUICHEN – à gauche D38 – traverser D776 - D39 - GOVEN - D62 - BREAL S/S MONTFORT - D62 (direction Talensac) - à gauche D240 - LE VERGER - D240 - MONTERFIL - D363 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
317;69;MONTAUBAN - D61 - IFFENDIC - D63 - MONTERFIL - D63 - TREFFENDEL - D36 - ST THURIAL - D36 - BREAL S/S MONTFORT - D62 (direction Talensac) - à gauche D240 - LE VERGER - D240 - MONTERFIL - D363 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
318;51;MONTAUBAN - D61 - IFFENDIC - D61 (direction St Péran) – à gauche après Trémelin VC – Chlle St Barthélémy - à droite D35 (direction St Péran) – 1km avant St Péran, à gauche D 40 - MONTERFIL – à gauche D63 (direction Iffendic) – Les 4 routes d’Iffendic – à droite D35 (direction Montfort) – après 1,5 km, à droite D 35 (direction Talensac) – La Noë Jeannot – traverser D363 – TALENSAC – D62 – MONTFORT/MEU - D61 - MONTAUBAN
321;105;MONTAUBAN – D28 – ROMILLE – D25 – LANGAN – D80 – ST GONDRAN – D80 – HEDE – D221 – GUIPEL – D221 – MONTREUIL/ILLE – D12 – FEINS – à gauche après église D91 – MARCILLE RAOUL – D91 – BAZOUGES LA PEROUSE – à gauche D796 (direction Combourg) – à gauche – TREMEHEUC (centre) – D83 – LANRIGAN – D83 – DINGE – D20 – TINTENIAC – D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
322;79;MONTAUBAN – D28 – ROMILLE – D25 – LANGAN – D80 – ST GONDRAN – D80 – HEDE – D221 – GUIPEL – D221 – MONTREUIL/ILLE – D12 – FEINS – à droite avant l’église D20 – DINGE – D20 – TINTENIAC – D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
323;59;MONTAUBAN – D28 – ROMILLE – D25 – LANGAN – D80 – ST GONDRAN – D80 – HEDE – D795 (direction Combourg) – à droite D87 – BAZOUGES S/S HEDE – à gauche VC – TINTENIAC – D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
326;105;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - D20 - DINGÉ - D83 - LANRIGAN - D83 - TREMEHEUC – après le bourg, à droite D796 - BAZOUGES LA PEROUSE - à droite D90 (direction St Rémy du Plain) puis à droite D91 - MARCILLE RAOUL - D91 - FEINS - D12 - MONTREUIL/ILLE - D221 - GUIPEL - D221 - HEDE - D80 - ST GONDRAN - D80 - LANGAN - D25 - ROMILLE - D28 - MONTAUBAN
327;79;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - D20 - DINGÉ - D20 - FEINS - D12 - MONTREUIL/ILLE - D221 - GUIPEL - D221 - HEDE - D80 - ST GONDRAN - D80 - LANGAN - D25 - ROMILLE - D28 - MONTAUBAN
328;59;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - D20 (direction Dingé) puis à droite VC - BAZOUGES S/S HEDE - D87 - HEDE - D80 - ST GONDRAN - D80 - LANGAN - D25 - ROMILLE - D28 - MONTAUBAN
331;96;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D61 – PLELAN LE GD – à gauche D38 – MAXENT – à droite D63 – LOUTEHEL – D59 – à droite D44 – à droite D772 – GUER – D772 – AUGAN – à droite D134 – CAMPENEAC – à droite D724 (direction Plélan) – à gauche D312 – D40 – PAIMPONT – D71 – à gauche D59 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
332;74;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D61 – PLELAN LE GD – à gauche D38 – MAXENT – à droite D63 – LOUTEHEL – à droite D59 – LE THELIN – D59 – PLELAN LE G D – à gauche puis à droite D38 – PAIMPONT – D71 – à gauche D59 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
333;54;MONTAUBAN – D61 – IFFENDIC – D61 – S T PERAN – D61 – PLELAN LE GD – à droite D38 – PAIMPONT – D71 – à gauche D59 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
336;96;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D59 (direction Plélan le Gd) - à droite D71 - PAIMPONT - à droite D40 - Beauvais – D312 – CAMPENEAC - à gauche D134 - AUGAN – à gauche D772 - GUER - D772 (direction Maure de Bgne) - à gauche puis à droite D311 – à droite D311A - D44 - LOUTEHEL - D63 - MAXENT - D38 - PLELAN LE GD - D61 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
337;74;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D59 (direction Plélan le Gd) - à droite D71 - PAIMPONT - D38 - PLELAN LE GD – à gauche D724 et aussitôt à droite D59 – LE THELIN - à gauche D59 - LOUTEHEL - à gauche D63 - MAXENT - D38 - PLELAN LE GD - D61 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
338;54;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D59 (direction Plélan le Gd) - à droite D71 - PAIMPONT - D38 - PLELAN LE GD - D61 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
341;105;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite à l’entrée du bourg puis à gauche D240 – LE VERGER – à droite D69 (direction St Thurial) – à gauche D40 puis à droite D69 – Cossinade – à gauche D69 – ST THURIAL – D69 – BAULON – à gauche D38 – LASSY – à droite D62 – GUIGNEN – D48 – BOURG DES COMPTES – D77 – LAILLE – à gauche D39 – GUICHEN – D38 – GOVEN – D62 – BREAL S/S MONTFORT – D62 – TALENSAC – D62 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
342;73;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite à l’entrée du bourg puis à gauche D240 – LE VERGER – à droite D69 (direction St Thurial) – à gauche D40 puis à droite D69 – Cossinade – à gauche D69 – ST THURIAL – D69 – BAULON – à gauche D38 – LASSY – à gauche D62 – GOVEN – D62 – BREAL S/S MONTFORT – D62 – TALENSAC – D62 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
343;56;MONTAUBAN – D61 – IFFENDIC – D30 – MONTFORT/MEU – D72 (direction Plélan) – D35 – Les 4 Routes d’Iffendic – à gauche D63 – MONTERFIL – à droite et à gauche D240 – LE VERGER – D240 (direction Bréal) – à gauche D62 (direction Talensac) – à droite avant le bourg (direction Cintre) et aussitôt à gauche VC (direction Breteil) – à gauche D30 – L’Abbaye – MONTFORT/MEU – D125 – D61 – MONTAUBAN
346;105;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - D62 - BREAL S/S MONTFORT - D62 - GOVEN – à droite après le bourg D 39 (direction Guichen) – à gauche D 38 – traverser D 776 – D 38 - GUICHEN - D39 - LAILLE - à droite D77 - BOURG DES COMPTES - D48 - GUIGNEN - à droite D62 - LASSY - D38 - BAULON - D69 - ST THURIAL - D69 – Cossinade - D69 - LE VERGER - D240 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN
347;73;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - D62 - BREAL S/S MONTFORT - D62 - GOVEN - à droite D44 (direction Baulon) puis à gauche D62 - LASSY - D38 - BAULON - D69 - ST THURIAL - D69 – Cossinade - D69 - LE VERGER - D240 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN
348;56;MONTAUBAN - D61 - D125 - MONTFORT/MEU - L'Abbaye - D30 (direction La Chapelle Thouarault) - à droite VC (direction Talensac) - à gauche à l'entrée du bourg (avant la côte, vers Cintré) – à droite et à gauche D62 (direction Bréal s/s Montfort) – laisser la 1ère route à droite indiquant Le Verger (faire 4.5 km sur la D62) et prendre à droite D240 - LE VERGER - D240 - MONTERFIL - D63 (direction Iffendic) - Les 4 routes d'Iffendic - à droite D35 - MONTFORT/MEU - à gauche D30 - IFFENDIC - D61 - MONTAUBAN
351;85;MONTAUBAN – D61 – IFFENDIC – D31 – ST GONLAY – D31 – ST MALON/MEL – à droite D31 (direction Concoret) – à gauche D31 (direction Concoret) – Chau de Comper – D141 – La Loriette – traverser D773 – D2 – CONCORET – à gauche dans le bourg D141 (direction Tréhorenteuc) – 1ère à gauche VC – Vaubossard – à droite D773 – PAIMPONT – à gauche D38 – PLELAN LE GD – à droite à la sortie du bourg (au niveau rte St Péran) – passer au-dessus N24 puis à gauche D238 – à gauche D69 – ST THURIAL – D69 – Cossinade – D69 (direction Le Verger) – à gauche D40 (direction Monterfil) – à droite au rond point D63 – MONTERFIL – à droite et à gauche D363 (direction Talensac) – traverser D35 – D363 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
352;66;MONTAUBAN – D61 – IFFENDIC – D 31 (direction St Gonlay) – à gauche VC (direction St Péran) – La Rochette – à droite D61 – ST PERAN – D36 – TREFFENDEL – à droite D63 (direction Maxent) – traverser N2024 – 1ère à gauche D238 – à gauche D69 – ST THURIAL – D69 – Cossinade – (direction Le Verger) – à gauche D40 (direction Monterfil) – à droite au rond point 63 – MONTERFIL – à droite et à gauche D363 (direction Talensac) – traverser D35 – D363 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
353;49;MONTAUBAN – D61 – IFFENDIC – D31 (direction St Gonlay) – à gauche VC (direction St Péran) – La Rochette – à droite D61 – ST PERAN – à gauche D35 (direction Montfort) – à droite D40 – MONTERFIL – à gauche D63 puis à droite et à gauche D363 (direction Talensac) – traverser D35 – D363 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
356;85;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 - MONTERFIL - à droite (direction Iffendic) - à gauche D63 (direction Treffendel) – au rond point à gauche D40 (direction St Thurial) – D69 - Cossinade - à gauche D69 - ST THURIAL - D69 (direction Baulon) - à droite D238 - PLELAN LE GD - à droite D38 - PAIMPONT - à droite D773 (direction Gaël) - à gauche VC (direction La Ville Danet) – prendre à gauche à la Ville Danet - Vaubossard - à droite D141 - CONCORET – à droite D2 – La Loriette - traverser D773 - D141 - Chau de Comper - D31 - ST MALON/MEL - D31 - ST GONLAY - D31 - IFFENDIC - D61 - MONTAUBAN
357;66;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 - MONTERFIL - à droite (direction Iffendic) - à gauche D63 (direction Treffendel) - au rond point à gauche D40 (direction St Thurial) – D69 - Cossinade - à gauche D69 - ST THURIAL - D69 (direction Baulon) - à droite D238 (direction Plélan le Gd) - à droite D63 - TREFFENDEL - D36 - ST PERAN - à droite D61 (direction Iffendic) - à gauche VC (direction St Gonlay) - à droite D31 - IFFENDIC - D61 - MONTAUBAN
358;49;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 - MONTERFIL - à droite (direction Iffendic) puis à gauche D63 (direction Treffendel) et au stop, à droite D40 (direction St Péran) - à gauche D35 - ST PERAN - à droite D61 (direction Iffendic) - à gauche VC (direction St Gonlay) - à droite D31 - IFFENDIC - D61 - MONTAUBAN
361;99;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU – à droite (direction Trémorel) et à gauche dans le bourg - à gauche avant l’étang VC (direction Trémorel) – traverser D764 – TREMOREL – D52 (direction Lanrelas) – Les Treize Chênes – à gauche D76 – ST LAUNEUC – D76 – ST VRAN – D76 (direction St Goueno) – à gauche D792 (direction St Gilles du Mené) – à droite D76 – ST GOUENO – à droite VC – Les 4 Routes – traverser D792 – VC – ST JACUT DU MENE – VC – LANGOURLA – tout droit D39 – à droite D46 – EREAC – D46 – LANRELAS – D46 – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – D59 (direction Le Crouais) – à gauche D28 – La Brohinière – MONTAUBAN
362;75;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU – à droite (direction Trémorel) et à gauche dans le bourg - à gauche avant l’étang VC (direction Trémorel) – traverser D764 – TREMOREL – D 52 (direction Lanrelas) – Les Treize Chênes – à gauche D76 – ST LAUNEUC – D76 (direction St Vran) – 3ème à droite D16 (1,2 km avant St Vran) – MERILLAC – D16 – EREAC – D46 – LANRELAS – D46 – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – D59 (direction Le Crouais) – à gauche D28 – La Brohinière – MONTAUBAN
363;55;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU – à droite (direction Trémorel) et à gauche dans le bourg - à gauche avant l’étang VC (direction Trémorel) – traverser D764 – TREMOREL – D 52 (direction Lanrelas) – Les Treize Chênes – à gauche D76 (direction St Launeuc) – 2ème à droite VC (direction « Les Landelles » / « Le Pont Scorgnet ») – à gauche D52 – LANRELAS – D46 – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – D59 (direction Le Crouais) – à gauche D28 – La Brohinière – MONTAUBAN
366;99;MONTAUBAN - La Brohinière - D28 (direction Le Crouais) - à droite D59 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - D712 - à gauche D46 - PLUMAUGAT - D46 - LANRELAS - D46 - EREAC - D46 - à gauche D39 - LANGOURLA - tout droit VC - ST JACUT DU MENE - tout droit VC - ST GOUENO - à gauche D76 – à gauche D792 (direction Collinée) et 1ère à droite D76 - ST VRAN - D76 - ST LAUNEUC - D76 - Les Treize Chênes - à droite D52 - TREMOREL - à gauche VC (direction Gaël) - à gauche VC - LE LOSCOUËT/MEU - D66 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
367;75;MONTAUBAN - La Brohinière - D28 (direction Le Crouais) - à droite D59 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - D712 - à gauche D46 - PLUMAUGAT - D46 - LANRELAS - D46 - EREAC - à gauche D16 - MERILLAC - D16 (direction St Vran) - à gauche D76 - ST LAUNEUC - D76 - Les Treize Chênes - à droite D52 - TREMOREL - à gauche VC (direction Gaël) - à gauche VC - LE LOSCOUËT/MEU - D66 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
368;55;MONTAUBAN - La Brohinière - D28 (direction Le Crouais) - à droite D59 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - D712 - à gauche D46 - PLUMAUGAT - D46 - LANRELAS - à gauche D52 (direction Trémorel) - après "le Pont Gesbert" tout droit VC (direction "Ets Payoux") - à gauche D76 - Les Treize Chênes - à droite D52 - TREMOREL - à gauche VC (direction Gaël) - à gauche VC - LE LOSCOUËT/MEU - D66 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
371;94;MONTAUBAN – D71 – LANDUJAN – D71 – D20 – BECHEREL – D20 – LA BAUSSAINE – à droite puis à gauche D79 (direction Cardroc) – à gauche VC – LES IFFS – D221 – à gauche D81 – ST BRIEUC DES IFFS – à droite D221 – S T SYMPHORIEN – D221 (direction Hédé) – à gauche D80 – HEDE – D221 – GUIPEL – D221 – MONTREUIL/ILLE – à droite D221 – AUBIGNE – D91 (direction St Germain Ille) – à gauche D106 – ST AUBIN D’AUBIGNE (Centre) – D 106 – CHASNE/ILLET – à droite puis à gauche D97 – S T SULPICE LA FORÊT – à droite D528 – CHEVAIGNE – D528 – MELESSE – D28 – LA MEZIERE – D28 – GEVEZE – D28 – ROMILLE – D28 – MONTAUBAN
372;74;MONTAUBAN – D71 – LANDUJAN – D71 – D20 – BECHEREL – D20 – LA BAUSSAINE – à droite puis à gauche D79 (direction Cardroc) – à gauche VC – LES IFFS – D221 – à gauche D81 – ST BRIEUC DES IFFS – à droite D221 – S T SYMPHORIEN – D221 (direction Hédé) – à gauche D80 – HEDE – D221 – GUIPEL – à droite D82 – MELESSE – à droite D28 – LA MEZIERE – D28 – GEVEZE – D28 – ROMILLE – D28 – MONTAUBAN
